,AKAP8L,ASF1A,BCOR,BMI1,BPTF,BRD1,BRD4,CBX5,CBX8,CDYL,CDYL2,CENPA,CHD8,CRTC2,CTCF,CTNNB1,CXXC1,DR1,EHMT1,EHMT2,EP300,EPC2,HMGB4,HMGN3,IRF4,KAT6A,KDM1A,KDM2B,KDM4C,KDM5C,L3MBTL1,L3MBTL2,LCOR,LEF1,MBD2,MLLT1,MLLT3,MYOG,NCOA1,NEDD4,NIPBL,NR1H4,PAXIP1,PCGF1,PML,PRDM14,PRDM6,PRMT6,PRMT7,RBBP5,RCOR1,RING1,RLF,RRP8,RUVBL2,SATB2,SETD1B,SETDB1,SGF29,SIRT7,SMARCA4,SMCHD1,SNAI2,SUV39H1,SUZ12,TADA1,TADA3,TAF4,TAF5L,TET2,TNP1,TRIM24,TRIM28,UHRF2,WDR82,XBP1,ZBTB7B,ZMYND8
0.1,4.520170743612308,3.0189899118644337,2.9164766444377164,3.716112541090229,3.940164912809721,2.923339070742992,3.556304781767573,3.688851639756306,1.7739963251111732,3.044042041245593,0.0285691521967709,3.5779720830242328,4.328549103445359,3.9721400751908256,4.086783526261529,5.746474006441671,3.972692654004264,4.090683553246581,3.9584689360871335,4.226200179271632,3.1246478272348814,2.587364990936461,0.0,5.260324820929455,0.01435529297707,2.4292136328994283,4.971221483481894,3.054153620781197,2.2097644567478403,3.9252362276715282,0.47091823657064735,3.1023200776239523,2.0942360698457656,0.1110313123887439,3.899368697219377,3.317014399691425,0.8527925810070683,0.0,1.7207146482668612,1.7075231672165556,3.4369613378336026,0.0,2.525066069423358,4.184436430622787,3.1740865660159425,0.0,0.0,2.6875069913428242,3.8920022902864737,2.775260922888368,2.7714597143616424,4.336711805108779,2.18269229751619,2.875780063068488,5.9163332472923,0.2750070474998698,1.769771739249448,3.997469744700234,2.8789211597489732,3.4610040387327787,5.136109324057821,3.3939646488220507,0.0426443374084937,2.4869711933685372,3.66060911124512,2.765534746362977,4.618237937871913,2.510450819244854,3.2412298418722867,1.23633641846838,0.0,2.3673710656485296,7.656567491485651,3.2729188094456894,4.5261939097324335,5.152651429176713,2.7272654308959052,3.188081033893451
0.5,5.148934104526339,3.972692654004264,3.899175630480513,4.807870078299782,4.82781902461732,3.750606504835592,4.475084882948782,4.883132015657282,2.666756591884804,3.879705766282288,0.6959938131099002,4.717539343391165,5.07724299893246,4.682011390800693,4.860466258517167,6.895544989253388,5.12969515665378,5.062208077560245,4.954196310386875,5.12391445900198,4.284662185483165,3.403267722339301,0.0,6.532161084983212,0.1110313123887439,3.564378168565064,5.914325330085303,3.968090752045256,3.1667154449664223,5.116863757690899,1.8914191868460783,3.96254902292306,3.2172307162206693,1.5058909297299572,4.878725341480106,4.43095427138573,2.954196310386876,0.0,2.782408564927373,3.353323291162897,4.1651079851445365,0.01435529297707,3.612352498752662,4.817111572795697,4.346956889378885,0.0,0.1110313123887439,3.8982083525087177,4.9415758618182375,3.5298209465286954,3.759155833800272,5.12474169241965,2.8439838440483265,3.584962500721156,6.738632746670322,2.0840642647884744,2.6644828403646823,4.844486087757799,3.726831217032493,4.5496691707264905,6.236109889889632,4.479618608469416,2.2234225499349374,3.5619370596224327,4.600507645345786,3.554588851677637,5.582556003014061,3.51096191927738,4.004501392234941,2.1342209397606338,0.0,3.418189947945766,8.65560227476211,4.357552004618084,5.546277132090075,6.271089466265599,3.949534933017012,4.266786540694901
0.8,5.647141748934344,4.579421522568199,4.775998662644662,5.516834605284246,5.468974144139382,4.311648394654038,5.008988504767313,5.549361001298309,3.339706492794017,4.3865349646164775,2.18840036857428,5.263635372279401,5.582796828478203,5.159306218482713,5.331060180287473,7.557869540365746,5.967442829034165,5.607567039426312,5.5406472712632695,5.702657436969396,4.861756850887519,3.863938450423972,0.0,7.305733426549083,0.4436066514756146,4.2072676314439885,6.565018255215786,4.718525426494953,3.761072407982597,5.698218371145851,2.7398481026993275,4.4495613746132365,4.014890670920463,4.5480664655584535,5.593294001118213,5.06013370759318,4.167356639048354,0.01435529297707,3.398623581306057,4.208673319629471,4.652142107757912,0.070389327891398,4.287915224321789,5.24617996310101,5.081850526573031,0.0,0.4854268271702416,4.556673311130026,5.477417151510895,3.9619932493807415,4.376429311069923,5.615298579092115,3.2942531364445142,3.972692654004264,7.2511697513145394,3.011852695447895,3.249445341085839,5.414065057554295,4.330844932975605,5.153724274410241,6.9372031015207005,5.118608127917362,4.826192019490316,4.173767032295978,5.208751208131174,4.119355220714913,6.149584516509013,4.133892120342509,4.4162989001271535,2.7523201740928256,0.0,4.182850615561399,9.26914070704495,5.107687869314374,6.056149700276555,7.165549775801693,4.7444839865798,5.0017121727071805
