,AKAP8L,ASF1A,BCOR,BMI1,BPTF,BRD1,BRD4,CBX5,CBX8,CDYL,CDYL2,CENPA,CHD8,CRTC2,CTCF,CTNNB1,CXXC1,DR1,EHMT1,EHMT2,EP300,EPC2,HMGB4,HMGN3,IRF4,KAT6A,KDM1A,KDM2B,KDM4C,KDM5C,L3MBTL1,L3MBTL2,LCOR,LEF1,MBD2,MLLT1,MLLT3,MYOG,NCOA1,NEDD4,NIPBL,NR1H4,PAXIP1,PCGF1,PML,PRDM14,PRDM6,PRMT6,PRMT7,RBBP5,RCOR1,RING1,RLF,RRP8,RUVBL2,SATB2,SETD1B,SETDB1,SGF29,SIRT7,SMARCA4,SMCHD1,SNAI2,SUV39H1,SUZ12,TADA1,TADA3,TAF4,TAF5L,TET2,TNP1,TRIM24,TRIM28,UHRF2,WDR82,XBP1,ZBTB7B,ZMYND8
0.1,4.507581783016662,2.760859070676203,3.1014562569499984,4.0427951723771045,4.007810030775483,2.6539346457322295,3.6648507971027886,3.680144247515972,2.1207988457845706,3.2459559668733475,0.027147766274800814,3.501544873870282,4.144843300784678,4.080278087898577,4.0582070501299965,6.907133417628492,3.9363574333656093,3.9022295001444247,3.320430328419419,4.148817662043108,3.021939616377509,3.076628652050878,0.0,5.070737510403025,0.02571223697709382,2.81371918375993,4.883847073855429,3.0905017474372505,2.168788260148899,3.784913899626671,0.3645391468870685,3.547322568935522,2.021317902218334,3.6899345929012775,3.728682098954472,3.1075395086683044,1.6289731733193842,0.0,2.1670103668763607,2.612133059430711,3.2370721815644723,0.0,2.66048806506321,4.497151353672659,3.8061129961321973,0.0,0.0,2.680062758721026,4.103183065211582,2.937457338843918,2.720466209638999,4.656941194280479,2.217279770803875,3.1233320239971816,5.806314908923671,1.8599195414124017,1.5597335254917835,4.072418779986467,2.5983623630269013,3.167945069530773,5.322078891038425,3.55413172485753,2.7644038831113193,2.401898195383154,3.7910400811162113,2.784277883148727,5.074518021878493,2.4937503750492196,3.391078505679321,1.1504246821761333,0.0,2.722666502906523,7.6093881162357,3.38604707024515,4.7011476503867895,5.559883956638242,2.7200311996290045,4.025410601620923
0.5,5.015247152962544,3.718087583960517,4.042626541904668,4.728708909079856,4.654777398059871,3.611761474065303,4.473449044464699,4.430619772181755,2.8688677136066785,3.89237924991653,0.298610634200156,4.780003402811346,4.895140196384938,4.732531350002379,4.665900968723704,7.824801063974105,4.994776157405984,4.902766506856912,4.382978177405075,4.936636381539188,4.429267168332137,3.8047762856177245,0.0,6.145641477870849,2.9221300498627083,3.4282638093214866,5.683792010223426,3.7675890783491015,2.788685710613534,5.039569034341594,1.4646682670034443,4.213736043543145,2.5594788395947763,5.865281663844307,4.660386738472935,4.565101735918747,2.7136354675867924,0.0,2.720236938647779,3.5382303786515683,3.8474122446062973,0.0426443374084937,3.7805026490995486,5.158045371964224,4.515373289417175,0.0,0.0565835283663675,3.5517488198516682,5.148542790859936,3.523507409758795,3.199279507576697,5.195542189649407,2.7538180467853013,3.68860700076517,6.66198687463007,2.914553103975277,2.4644764844318523,4.676566353656197,3.274192109077558,4.17232660406568,6.05458024705087,4.208668044752709,5.039795990976243,3.4541704885358433,4.411750815271606,3.2141733858505894,5.665135776708349,3.401220700595844,4.017392329666707,1.7696724766489704,0.0,3.3516867249834714,8.525502588222789,4.354316072779248,5.606119749081641,6.307942617621798,3.4415904515866433,4.972986705084397
0.8,5.32696710226115,4.17745326944525,4.479725777297932,5.072101730592083,4.88224592169046,4.072777170885507,4.802970919126081,5.081453937057633,3.235772025745014,4.399958017916819,1.533059424807475,5.253055089975206,5.19880125907782,5.159627886733775,4.915325579137753,8.5984194839052,5.565290621417574,5.362539912359456,4.871941705703667,5.414396565647724,4.824960337635178,4.045163617918242,0.0,6.784889936598033,4.495901810362902,3.80385102435195,6.05025538431337,4.21007051486988,3.5163136415025313,5.521991728086668,2.0874628412503395,4.5837592522857085,3.1854995133429984,6.841987507042505,5.150062937792998,4.988944884234313,3.4162093568839507,0.0,3.050991290894056,4.241114677048906,4.346222813206742,0.1557122957883978,4.079389531739969,5.3923817092785615,4.911463290152114,0.0,0.226301253782252,4.041903255452422,5.537925240378754,3.9552917642075456,3.6477644543154417,5.750441651676349,3.1043211267138076,4.123990806835103,7.331651366011507,3.2147399810676323,2.819616520247914,5.018807804172431,3.5870962549990497,4.665058055006313,6.54852887969736,4.707189134767407,6.170255089803703,4.096596019793879,4.729770207546535,3.792022327401958,6.187881820043103,3.8011571733813647,4.314695797771911,2.2892054419685244,0.2166015502440138,3.796399955153319,8.988078714489868,4.9557742982796285,6.021333174011027,6.8038868715288165,4.103462729917611,5.322324439259425
