,HDAC3,MSL1,MORF4L1,ELK4,CHD1,IWS1,NOC2L,PER2,HSPBAP1,LPIN1,INCENP,MSL2,SNW1,SIRT4,NCOR1,MCRS1,RBBP7,MTF2,USP22,NPM2,ACTB,SMARCD3,ZNHIT1,LMNA,SCMH1,RNF40,BAZ2A,WDR5B,GATAD2A,NTMT1,KDM4D,SMARCE1,SUDS3,PAXBP1,TAF1,RTF1,JMJD4,BAZ2B,TAF9,DDX11,KDM4A,LDB1,NAP1L4,HIRIP3,PHF20L1,TAF12,HMGN2,BRD7,SETD5,SAFB,PBRM1,ZBTB33,CREBBP,MBD3,SMARCA1,MYOD1,ARID3A,INO80,TAF10,MAP3K7,KMT2A,KDM3A,PRKD1,WDR5,APP,APBB1,PAF1,BRMS1L,SMARCAL1,AUTS2,KDM8,DYDC2,ATF2,ACTL6A,GATA2,KMT5A,PRMT3,EPC1,MUC1,BRPF3,PHC1,NAA50,MTHFR,SMYD5,TAF2,BCL6,HELLS
0.1,4.9702543553310194,4.911152112114152,7.991738934244185,2.659007697703023,3.922282744893981,4.639444692120656,5.581460784289641,0.5713863876427141,2.460057812365742,3.1901274593588917,4.001380854258965,2.5580224861563265,5.431219103803047,0.39722124319020885,4.120649695105393,4.761120982666286,6.027733414655586,3.0741569878092903,5.497161552306197,0.0,10.61398096330414,2.799737754009064,6.478725506393,7.877789281944957,3.4913568964915007,4.786021251594619,3.6432129005618723,1.6812186441637837,4.0000510882167015,5.036620475544857,0.5926249276640625,5.896774335658084,3.343125537209039,3.3890566777374556,3.3709535099833823,3.5625892992059693,3.010240348292179,2.5864248085801647,5.800507428195039,3.612041978471447,3.686298774140084,4.137366170979214,6.130341925378036,3.936690707475855,3.6943330901116136,3.899847392264473,8.24054476316116,4.588020906178803,4.170754285712674,4.818146548689062,3.3495276696015552,2.603329238387191,2.9314440351580906,3.4356105998770214,2.497716889675015,0.0,1.0285691521967708,2.8384179302811954,5.903172925957544,3.4210006500698666,2.7857327229322077,3.954171735822575,2.12043522941954,3.9081179814104194,7.920302330411969,3.2815321606730015,4.415659214298509,2.5433190864776494,3.194874324510948,0.0813161911462638,0.9478513938386635,0.0,3.6309479688637363,5.920699629351128,0.19522082742767888,3.6486928691625633,3.6510163851462414,2.53648675408261,0.6303945592413543,2.8794951122104133,2.9004661016377264,5.915713831801107,1.8582800975873348,3.9273265931955756,3.509418010982728,2.4453322416930563,3.1358984426157264
0.5,5.782071719519708,5.437786680533796,8.840085094823959,3.1905724557205803,4.587661246930654,5.270525843885426,6.565673231140576,1.166711866862596,3.1802277917333783,4.343289481419818,5.050702587547564,3.1818606356610797,5.93120252550417,1.035606744802632,4.8926333724895,5.423578170981798,7.026765569574486,3.727910182542458,6.1651221892328,0.2927697316763383,11.222884862065388,4.135363976646815,7.212720509148188,8.827528236349803,4.014345348834901,5.472323750321403,4.886295356736528,2.250961573533219,5.086384632185833,5.623070476976244,0.9597653881936443,6.325048422940215,3.979567447883582,4.037382757094605,4.228415392602967,4.1505267435956945,4.02967493461528,3.4547401559830657,6.604424844791048,4.768447048753722,4.266991880771762,5.076387054660579,6.525626362104607,4.698211627804347,4.21131329639527,4.59424843316528,8.864603540836468,5.219342394911965,5.299541712997062,6.009545072936497,4.16709685848645,3.510327769522907,3.7926897347471487,5.343523956043713,4.407333367069139,0.0,2.1374699892530837,3.4568037559115496,6.846053327466683,4.098449313064412,3.517899918711631,4.544387495383868,3.228813560895275,4.670157732053189,8.72467811857263,4.291308671672471,5.327147054333807,3.093379022794058,3.828279647012222,1.5423723104342337,1.572887630856739,0.1699107524616712,4.133810032588916,6.487839138301796,2.028569152196771,4.886122641651031,4.295932443768828,3.1018061446564547,1.592140147209691,3.8673101055010726,3.820178872027835,6.710934663321472,2.6276049494071163,4.46171871457631,4.245943780149778,3.5458329937609063,4.029382822093307
0.8,6.052577722232407,5.785794924802264,9.148186740666203,3.61015395962459,4.8990935490205825,5.571857942593158,7.144034997469159,1.5300487231551285,3.5648422130133386,4.699322706785722,5.585277350553814,3.3832200096347367,6.234724163977606,1.4048769438035924,5.30764703259245,5.8567397611742935,7.374865434699706,4.069111607331207,6.522075097165863,2.1263774557494215,11.787131746332845,4.7965844564770626,7.7573298068189915,9.609038147850226,4.38308191965451,5.666586166878256,5.281622580701545,2.8077586159828556,5.46623343388974,6.057643418888985,1.2091392423836358,6.760413722885804,4.384878677272612,4.596686271327826,4.6887394345381965,4.627081131782415,4.3875249327993435,3.9251567347945637,7.021111352275654,5.431081657024995,4.700110602841055,5.40448259875148,6.8644107826320475,5.092788666073467,4.900555925617767,4.878234879112339,9.372322687962736,5.515558274666095,5.728764490570065,6.362907714797924,4.698995463905408,3.9126126277245934,4.174071231710706,5.7132855391924195,4.780408376187939,0.0,2.8519067028285927,3.932608460729256,7.375601309835549,4.333563423162572,3.9596747194932336,5.0592238705262735,3.9337581018773875,5.0443350379262535,9.143997521413535,4.743404538713019,5.6310456806817895,3.492339785053932,4.0662433952982155,3.262376409964599,1.8999481584069926,0.7291110594470874,4.395470548565235,6.756959308734892,3.3928519213453483,5.33622575546876,4.671159681659548,3.4441321948056336,2.5323720767394664,4.427865405232181,4.263333404750272,7.114193559282899,3.202861313887178,4.8572646205827885,4.5810458208436104,4.160100466447988,4.568761045811209
