,HDAC3,MSL1,MORF4L1,ELK4,CHD1,IWS1,NOC2L,PER2,HSPBAP1,LPIN1,INCENP,MSL2,SNW1,SIRT4,NCOR1,MCRS1,RBBP7,MTF2,USP22,NPM2,ACTB,SMARCD3,ZNHIT1,LMNA,SCMH1,RNF40,BAZ2A,WDR5B,GATAD2A,NTMT1,KDM4D,SMARCE1,SUDS3,PAXBP1,TAF1,RTF1,JMJD4,BAZ2B,TAF9,DDX11,KDM4A,LDB1,NAP1L4,HIRIP3,PHF20L1,TAF12,HMGN2,BRD7,SETD5,SAFB,PBRM1,ZBTB33,CREBBP,MBD3,SMARCA1,MYOD1,ARID3A,INO80,TAF10,MAP3K7,KMT2A,KDM3A,PRKD1,WDR5,APP,APBB1,PAF1,BRMS1L,SMARCAL1,AUTS2,KDM8,DYDC2,ATF2,ACTL6A,GATA2,KMT5A,PRMT3,EPC1,MUC1,BRPF3,PHC1,NAA50,MTHFR,SMYD5,TAF2,BCL6,HELLS
0.1,5.124732795253342,4.823952771063785,7.63270417367777,2.4667525132832515,3.645701548051174,4.532940288372874,5.392454658745964,0.922954144912273,1.992768430768924,2.415758058341478,3.339992315383682,2.6196473085093084,5.374413055262061,0.3628801634792277,4.391621411784828,4.929980017222759,6.21912959020593,3.090853430451113,4.981761184512069,0.0,10.273281992659848,1.5558161550616396,5.874354333394443,4.599612376645282,3.193140712151346,4.642695324377261,3.84799690655495,1.5439886827165992,3.7872233934463186,4.711009708930786,0.3561438102252753,5.819310525193926,3.4849113487828123,3.2983634445573955,3.4337605336863977,3.699329525673156,3.017921907997262,2.243668308899989,5.515573687225205,3.5873379848984137,3.5392827804710176,4.089836552626132,5.834306697644725,3.5803862335386207,3.381283372503784,3.763193070718287,7.97511412392246,4.845788569130546,4.2752960359687755,5.058489428400575,2.7595804626199554,2.5390326519762194,2.8098245871409433,4.0501533255578765,0.1110313123887439,0.0,1.1505596765753812,2.833902076669163,5.569247261698538,3.352758359138969,3.0823559318399725,3.3843255234141285,0.01435529297707,4.119854087334988,6.063804848355281,0.24609168795477776,4.633547345888352,2.146002567114859,2.884792945137124,0.1110313123887439,1.15704371014558,0.0,3.367927541242468,5.840161019661873,0.1322333682508416,4.2502036564992975,3.3757345385831563,2.719402112724203,0.8607589491777751,2.799078362805952,2.2696286710347557,5.908423098612754,1.6424634264370872,3.742006210866737,3.528568066978575,1.263034405833794,3.275566825718088
0.5,5.821199978056451,5.560103513464738,8.641293130688673,3.212569338850806,4.4409521980296365,5.223036337901875,6.3079748971135245,1.82781902461732,2.7463127664254587,3.85897561429202,4.88410945135923,3.377123749129487,5.995936703504587,0.9855004303048848,5.25285462595139,5.58796498888268,7.042863176247121,4.095924419998536,6.130930869826448,0.765534746362977,11.320800548881635,3.412781525338476,6.6783536539741695,7.889108441924102,4.1906148602094975,5.367720513401452,4.971773447193373,2.189033824390017,4.862451391325582,5.622637566537459,0.8718436485093178,6.603181229013857,4.259272487037594,4.346956889378885,4.273515889702116,4.519793486241101,3.819668183496456,3.614709844115208,6.396262260990105,5.164705840182799,4.379898163524692,5.074676686294496,6.589164236699772,4.609991295212678,4.267535798068735,4.61706334388818,9.038178252278817,5.6194130105979365,5.4329594072761065,6.0576668767997095,4.106850796450224,3.37851162325373,3.937344392150232,5.326609251005271,4.152183419055046,0.0,2.5897634869849773,3.6507645591169022,6.615445725304786,4.137503523749935,4.115199749385445,4.20163386116965,1.3504972470841332,5.02945288578697,8.308475556332992,2.992768430768924,5.509379148914689,3.1667154449664223,3.701549056943071,2.6644828403646823,1.8953026213333068,0.0285691521967709,4.227278994468321,6.593204354063288,2.608809242675524,5.273888823668492,4.23112515787905,3.472487771462744,3.003602236680196,3.901108243014512,3.763411574470007,6.870611313044545,2.724650271732968,4.500164679492167,4.4154882710497,3.1984941536390834,4.612942196304665
0.8,6.243897457848923,6.045311863679167,9.148308785328927,3.7424368649795343,4.938191237144289,5.5785158567302044,6.871350756407764,2.5897634869849773,3.301294862196352,4.697662633470518,5.507286872345389,4.024142345897803,6.355615339720275,1.540025902554889,5.806427143837036,5.981076299464584,7.600998025138499,4.774312609253225,6.676802664057748,2.4398874772341275,11.98253706891952,4.663458194159974,7.224271852135164,8.83114253395124,4.824767853143294,5.804827694681686,5.515699700368794,2.6870606883398924,5.467931546026287,6.10697603826929,1.280956313831056,7.077349576346341,4.746957386148124,5.037381954294117,4.805189240071735,5.003152448666922,4.312373692912402,4.311647369002909,6.879534199230536,6.017654714758518,4.909291805987192,5.676605764495581,7.01419885235109,5.286215696055963,4.82466602183531,5.055976455986752,9.777737819256043,6.062164892795041,5.972185179762026,6.590331995631692,4.800537548428573,3.930736095237799,4.511341437128045,5.994308172287712,5.293885242721108,0.01435529297707,3.781149790628403,4.052763489511856,7.155162284854862,4.593831087908803,4.732160624144316,4.73898380897028,3.0513721017210256,5.518660671401047,8.999052906299303,4.496973014574187,6.030159439854161,3.822933124945909,4.099126812732075,4.387774410126613,2.485426827170241,0.3219280948873623,4.716442236843321,7.073841421125607,4.303777783264347,5.872336288104642,4.791188926446164,3.982765462583646,5.1602746056457,4.460217947266616,4.589522839957178,7.377713476512309,3.412781525338476,4.92428983880865,4.921150645472601,4.282585597512507,5.2888008793334365
