,AKAP8L,ASF1A,BCOR,BMI1,BPTF,BRD1,BRD4,CBX5,CBX8,CDYL,CDYL2,CENPA,CHD8,CRTC2,CTCF,CTNNB1,CXXC1,DR1,EHMT1,EHMT2,EP300,EPC2,HMGB4,HMGN3,IRF4,KAT6A,KDM1A,KDM2B,KDM4C,KDM5C,L3MBTL1,L3MBTL2,LCOR,LEF1,MBD2,MLLT1,MLLT3,MYOG,NCOA1,NEDD4,NIPBL,NR1H4,PAXIP1,PCGF1,PML,PRDM14,PRDM6,PRMT6,PRMT7,RBBP5,RCOR1,RING1,RLF,RRP8,RUVBL2,SATB2,SETD1B,SETDB1,SGF29,SIRT7,SMARCA4,SMCHD1,SNAI2,SUV39H1,SUZ12,TADA1,TADA3,TAF4,TAF5L,TET2,TNP1,TRIM24,TRIM28,UHRF2,WDR82,XBP1,ZBTB7B,ZMYND8
0.25,4.819923572955822,3.442280035252584,3.373648043475165,4.281326900408503,4.356848079236522,3.3298409981611847,3.9936740774923356,4.276496473580298,2.1858665453113337,3.4679313987334055,0.137503523749935,4.206721304539382,4.682854141236835,4.302319050948834,4.4780007290230035,6.312882669952421,4.527946098908258,4.596039861887283,4.433627167084783,4.645872219669647,3.800123352826528,2.978195629681652,0.0,5.923979981034142,0.0285691521967709,3.033863451866284,5.421559905633693,3.4879984788082212,2.6599245584023783,4.568335381170922,1.1309308698264486,3.488643396729972,2.5837592518676082,0.3219280948873623,4.37920505996061,3.848998430400023,2.0513710520920814,0.0,2.263034405833794,2.639232163249277,3.778208576398088,0.0,3.056583528366368,4.521364844252082,3.698774001948785,0.0,0.0285691521967709,3.30231886564243,4.4083718436388715,3.165107088624651,3.2524754198820025,4.7268308055335755,2.472487771462744,3.2288184853125568,6.3149680204325245,1.0669461350987781,2.19534759832222,4.375039263810828,3.296457220552912,4.02103541109185,5.689578698427569,3.899175630480513,0.1440316001626582,3.0347436807985027,4.116861600995838,3.1235004269131705,5.10936055940423,3.007195501404204,3.609991295212679,1.6690267655096307,0.0,2.854992672242437,8.131728271336478,3.8273108544515733,5.056365441754065,5.6926501273353525,3.3384242385239373,3.6519122881107338
0.5,5.148934104526339,3.972692654004264,3.899175630480513,4.807870078299782,4.82781902461732,3.750606504835592,4.475084882948782,4.883132015657282,2.666756591884804,3.879705766282288,0.6959938131099002,4.717539343391165,5.07724299893246,4.682011390800693,4.860466258517167,6.895544989253388,5.12969515665378,5.062208077560245,4.954196310386875,5.12391445900198,4.284662185483165,3.403267722339301,0.0,6.532161084983212,0.1110313123887439,3.564378168565064,5.914325330085303,3.968090752045256,3.1667154449664223,5.116863757690899,1.8914191868460783,3.96254902292306,3.2172307162206693,1.5058909297299572,4.878725341480106,4.43095427138573,2.954196310386876,0.0,2.782408564927373,3.353323291162897,4.1651079851445365,0.01435529297707,3.612352498752662,4.817111572795697,4.346956889378885,0.0,0.1110313123887439,3.8982083525087177,4.9415758618182375,3.5298209465286954,3.759155833800272,5.12474169241965,2.8439838440483265,3.584962500721156,6.738632746670322,2.0840642647884744,2.6644828403646823,4.844486087757799,3.726831217032493,4.5496691707264905,6.236109889889632,4.479618608469416,2.2234225499349374,3.5619370596224327,4.600507645345786,3.554588851677637,5.582556003014061,3.51096191927738,4.004501392234941,2.1342209397606338,0.0,3.418189947945766,8.65560227476211,4.357552004618084,5.546277132090075,6.271089466265599,3.949534933017012,4.266786540694901
0.75,5.538227739736,4.471512611404636,4.596637003296216,5.390598536640077,5.326609206212675,4.214124805352848,4.883132015657282,5.408197054561203,3.192194165283345,4.276496473580298,1.918386234446348,5.161685822715869,5.479456853255036,5.062207043580846,5.230548771495651,7.435211663939484,5.79843939300574,5.506208249625917,5.4424459194709645,5.592157971127626,4.739307160864245,3.78345665436024,0.0,7.161333467327001,0.2986583155645151,4.07895108883096,6.4263486274445265,4.544113209436105,3.63806964876664,5.589014190646237,2.5921580021253603,4.3458930420763915,3.85149911591446,4.02901047765406,5.461397441293038,4.9641675421738345,3.938280880751064,0.0,3.274261468600993,4.034303700595509,4.543186225988196,0.0426443374084937,4.148933875314324,5.168922656444863,4.949065244329676,0.0,0.3895668117627256,4.435961856945727,5.376776404749859,3.8708575273435155,4.244886858460241,5.527946065024672,3.2141248053528475,3.8967561371910877,7.159215218616437,2.853995647176393,3.137503523749935,5.297007004228094,4.207892851641333,5.04766923490647,6.7728753619318685,4.996612573854367,4.473734166830914,4.0652273653607,5.086188312934684,3.989593113471013,6.054631301844421,3.9813959596876263,4.321928094887363,2.622928449913285,0.0,4.024585025525548,9.14296177998191,4.918384262379774,5.95768157108603,6.953089739900175,4.581652247388918,4.851248779127994
