,TAF9,MSL1,MAP3K7,HMGN2,INCENP,IWS1,USP22,PRMT3,NAP1L4,SMARCAL1,LMNA,TAF1,TAF10,SCMH1,WDR5B,KMT5A,NPM2,HSPBAP1,RNF40,PHC1,SMYD5,PRKD1,CREBBP,MYOD1,AUTS2,WDR5,NAA50,SMARCD3,HELLS,GATAD2A,INO80,MSL2,MBD3,MTF2,GATA2,PHF20L1,EPC1,SETD5,PAXBP1,ATF2,ACTB,HDAC3,SMARCE1,MORF4L1,ELK4,ZNHIT1,SUDS3,APP,TAF2,HIRIP3,KDM8,RTF1,LPIN1,BRPF3,MCRS1,KDM4D,KDM4A,KMT2A,SMARCA1,DYDC2,CHD1,BAZ2B,BRMS1L,PER2,DDX11,SNW1,ZBTB33,SAFB,NCOR1,ARID3A,NTMT1,BCL6,MTHFR,LDB1,BRD7,SIRT4,BAZ2A,RBBP7,APBB1,KDM3A,ACTL6A,MUC1,JMJD4,NOC2L,TAF12,PBRM1,PAF1
0.25,6.255189268922756,5.1044274560778495,3.8701038023423204,8.511244875566327,4.239167511959797,5.041018441460809,5.886605221524424,3.954399064379614,6.269310438400051,3.501967029982214,8.287746928195956,3.739010462045833,6.2447828763847495,3.791966231046773,1.9809383973877186,4.528881285632021,0.0,2.855985561212204,5.084169167854334,3.5758063484313376,4.1755139656155045,2.889469594205977,3.2290705029553037,0.0,0.3700908416896576,4.399170607439968,6.412086438736021,3.457451721979454,3.6493210657562183,4.257471597168632,3.19454368960836,2.928835923218585,4.188720718538864,3.3059616472002866,0.8737767490388362,3.92217420392382,2.8176188952548005,4.881732427945175,3.6527711442150474,3.8564751038319125,10.88833927205085,5.411932203790994,6.199421885690019,8.45013251072525,2.911473679915331,6.939154735719769,3.6360247577712532,8.415549563807787,4.013848510657088,4.388129396075408,1.323263237600855,3.8402081966206447,3.842770105543286,3.37781333829651,5.2265834590913585,0.7505632452736447,4.052020571551919,3.220267219368429,3.6026704612173948,0.01435529297707,4.308517611629532,2.9689554418346487,2.8986722936775404,0.8836048651835201,4.161281001694823,5.737818724363067,2.97049538639966,5.3013792595645395,4.617408513515883,1.6982133298356192,5.207005961303892,2.9492021109827973,2.1176950426697547,4.765151634397024,5.04176864995163,0.636892109545687,4.455161788337553,6.552644433385206,3.866400978960405,4.308683581771987,6.241453415996629,0.8816285656621835,3.4652853944274593,5.9400469815576535,4.27105879863757,3.811214048858671,4.763772591808535
0.5,6.604424844791048,5.437786680533796,4.098449313064412,8.864603540836468,5.050702587547564,5.270525843885426,6.1651221892328,4.295932443768828,6.525626362104607,3.828279647012222,8.827528236349803,4.228415392602967,6.846053327466683,4.014345348834901,2.250961573533219,4.886122641651031,0.2927697316763383,3.1802277917333783,5.472323750321403,3.820178872027835,4.46171871457631,3.228813560895275,3.7926897347471487,0.0,1.5423723104342337,4.670157732053189,6.710934663321472,4.135363976646815,4.029382822093307,5.086384632185833,3.4568037559115496,3.1818606356610797,5.343523956043713,3.727910182542458,2.028569152196771,4.21131329639527,3.1018061446564547,5.299541712997062,4.037382757094605,4.133810032588916,11.222884862065388,5.782071719519708,6.325048422940215,8.840085094823959,3.1905724557205803,7.212720509148188,3.979567447883582,8.72467811857263,4.245943780149778,4.698211627804347,1.572887630856739,4.1505267435956945,4.343289481419818,3.8673101055010726,5.423578170981798,0.9597653881936443,4.266991880771762,3.517899918711631,4.407333367069139,0.1699107524616712,4.587661246930654,3.4547401559830657,3.093379022794058,1.166711866862596,4.768447048753722,5.93120252550417,3.510327769522907,6.009545072936497,4.8926333724895,2.1374699892530837,5.623070476976244,3.5458329937609063,2.6276049494071163,5.076387054660579,5.219342394911965,1.035606744802632,4.886295356736528,7.026765569574486,4.291308671672471,4.544387495383868,6.487839138301796,1.592140147209691,4.02967493461528,6.565673231140576,4.59424843316528,4.16709685848645,5.327147054333807
0.75,6.954592074746891,5.7283629347384295,4.299206310548273,9.286871632362079,5.415244329555007,5.5174541470110094,6.4554068903416555,4.615139542392328,6.818034387811991,4.001570721086019,9.398612670863033,4.564035940727833,7.289118644636552,4.336963684873558,2.778727081527575,5.271742402189612,1.6824899769234478,3.5020742722253573,5.616913973255528,4.154991908661399,4.762844959641439,3.7689463187873193,4.067807710732135,0.0,3.0122384784992393,4.978378961183343,7.054060430531374,4.551659506367315,4.51838803634171,5.412989285185309,3.872037281908309,3.3610537191165535,5.624118599351411,4.023031014792129,3.1517570203713543,4.683888691608521,3.4212034609246036,5.684433075470071,4.533250944559626,4.329004253199818,11.758971814339343,5.997046017337459,6.637208924575946,9.048540053226928,3.5207315062058973,7.62415176928252,4.332267258254033,9.060094324374667,4.514528875189793,5.041202175645605,1.8559896973084808,4.53860712295136,4.676772066588686,4.318557355865071,5.761227995970217,1.1731168254607818,4.594998993773716,3.904961868060412,4.747384704080633,0.5873590129284557,4.833391882281813,3.904721978620094,3.3741059475486455,1.4710464464104622,5.267129422966135,6.189676123632287,3.8282500494164404,6.253775277691988,5.240167797062665,2.5445555225859353,5.986649622819402,4.075231425684263,3.097056132790348,5.331198966407393,5.454914108445473,1.313167627587361,5.221101240241699,7.334988510789076,4.585350082279586,4.8347861362293685,6.700775830401139,2.460698200402967,4.355414005448153,7.049328012215007,4.842238196622459,4.636306397935853,5.597679936162517
