,AKAP8L,ASF1A,BCOR,BMI1,BPTF,BRD1,BRD4,CBX5,CBX8,CDYL,CDYL2,CENPA,CHD8,CRTC2,CTCF,CTNNB1,CXXC1,DR1,EHMT1,EHMT2,EP300,EPC2,HMGB4,HMGN3,IRF4,KAT6A,KDM1A,KDM2B,KDM4C,KDM5C,L3MBTL1,L3MBTL2,LCOR,LEF1,MBD2,MLLT1,MLLT3,MYOG,NCOA1,NEDD4,NIPBL,NR1H4,PAXIP1,PCGF1,PML,PRDM14,PRDM6,PRMT6,PRMT7,RBBP5,RCOR1,RING1,RLF,RRP8,RUVBL2,SATB2,SETD1B,SETDB1,SGF29,SIRT7,SMARCA4,SMCHD1,SNAI2,SUV39H1,SUZ12,TADA1,TADA3,TAF4,TAF5L,TET2,TNP1,TRIM24,TRIM28,UHRF2,WDR82,XBP1,ZBTB7B,ZMYND8
0.2,4.768607246407422,3.0641048090177407,3.4744362237717534,4.3320794732814045,4.18078425065734,2.902265742186432,3.983105867388391,4.062907945653004,2.3982681008703755,3.468231068864206,0.070389327891398,3.868747203077695,4.430418699987086,4.266628640805394,4.2453342297227685,7.13520464455212,4.225793489451189,4.100338285637736,3.7972195883237863,4.431059180309368,3.903017530635133,3.293958859001181,0.0,5.704569653573763,0.19400683539229624,3.0578561406217917,5.339999419087393,3.331334652849471,2.2990699497358777,4.580618989304735,0.7518552455204077,3.98447272075967,2.1342058991922213,4.547317232208086,4.17360704393137,3.646366366333851,1.8623486998008734,0.0,2.344828496997441,3.167860889701849,3.4671311427514473,0.0,2.9706194026477233,4.663686108080338,4.090344991538623,0.0,0.01435529297707,2.875731462878765,4.530319715756172,3.245494506510042,2.914482441974228,4.814231302094826,2.472450028655812,3.3424663937939347,6.116305105784955,2.222804030923861,1.8402140817761257,4.23226114714449,2.789902878092718,3.4549375624765584,5.622855326883811,3.7067963659880716,3.648819121477927,2.8185085494883375,4.04823348166138,2.8571839255373366,5.269470200944265,2.8195744920720176,3.5469186489365447,1.2289535665027895,0.0,2.9754922938049657,7.8835103293196465,3.9396022788162997,5.074411806823026,5.918019248172141,2.872516510307151,4.327399831508329
0.5,5.015247152962544,3.718087583960517,4.042626541904668,4.728708909079856,4.654777398059871,3.611761474065303,4.473449044464699,4.430619772181755,2.8688677136066785,3.89237924991653,0.298610634200156,4.780003402811346,4.895140196384938,4.732531350002379,4.665900968723704,7.824801063974105,4.994776157405984,4.902766506856912,4.382978177405075,4.936636381539188,4.429267168332137,3.8047762856177245,0.0,6.145641477870849,2.9221300498627083,3.4282638093214866,5.683792010223426,3.7675890783491015,2.788685710613534,5.039569034341594,1.4646682670034443,4.213736043543145,2.5594788395947763,5.865281663844307,4.660386738472935,4.565101735918747,2.7136354675867924,0.0,2.720236938647779,3.5382303786515683,3.8474122446062973,0.0426443374084937,3.7805026490995486,5.158045371964224,4.515373289417175,0.0,0.0565835283663675,3.5517488198516682,5.148542790859936,3.523507409758795,3.199279507576697,5.195542189649407,2.7538180467853013,3.68860700076517,6.66198687463007,2.914553103975277,2.4644764844318523,4.676566353656197,3.274192109077558,4.17232660406568,6.05458024705087,4.208668044752709,5.039795990976243,3.4541704885358433,4.411750815271606,3.2141733858505894,5.665135776708349,3.401220700595844,4.017392329666707,1.7696724766489704,0.0,3.3516867249834714,8.525502588222789,4.354316072779248,5.606119749081641,6.307942617621798,3.4415904515866433,4.972986705084397
0.8,5.32696710226115,4.17745326944525,4.479725777297932,5.072101730592083,4.88224592169046,4.072777170885507,4.802970919126081,5.081453937057633,3.235772025745014,4.399958017916819,1.533059424807475,5.253055089975206,5.19880125907782,5.159627886733775,4.915325579137753,8.5984194839052,5.565290621417574,5.362539912359456,4.871941705703667,5.414396565647724,4.824960337635178,4.045163617918242,0.0,6.784889936598033,4.495901810362902,3.80385102435195,6.05025538431337,4.21007051486988,3.5163136415025313,5.521991728086668,2.0874628412503395,4.5837592522857085,3.1854995133429984,6.841987507042505,5.150062937792998,4.988944884234313,3.4162093568839507,0.0,3.050991290894056,4.241114677048906,4.346222813206742,0.1557122957883978,4.079389531739969,5.3923817092785615,4.911463290152114,0.0,0.226301253782252,4.041903255452422,5.537925240378754,3.9552917642075456,3.6477644543154417,5.750441651676349,3.1043211267138076,4.123990806835103,7.331651366011507,3.2147399810676323,2.819616520247914,5.018807804172431,3.5870962549990497,4.665058055006313,6.54852887969736,4.707189134767407,6.170255089803703,4.096596019793879,4.729770207546535,3.792022327401958,6.187881820043103,3.8011571733813647,4.314695797771911,2.2892054419685244,0.2166015502440138,3.796399955153319,8.988078714489868,4.9557742982796285,6.021333174011027,6.8038868715288165,4.103462729917611,5.322324439259425
