,TAF9,MSL1,MAP3K7,HMGN2,INCENP,IWS1,USP22,PRMT3,NAP1L4,SMARCAL1,LMNA,TAF1,TAF10,SCMH1,WDR5B,KMT5A,NPM2,HSPBAP1,RNF40,PHC1,SMYD5,PRKD1,CREBBP,MYOD1,AUTS2,WDR5,NAA50,SMARCD3,HELLS,GATAD2A,INO80,MSL2,MBD3,MTF2,GATA2,PHF20L1,EPC1,SETD5,PAXBP1,ATF2,ACTB,HDAC3,SMARCE1,MORF4L1,ELK4,ZNHIT1,SUDS3,APP,TAF2,HIRIP3,KDM8,RTF1,LPIN1,BRPF3,MCRS1,KDM4D,KDM4A,KMT2A,SMARCA1,DYDC2,CHD1,BAZ2B,BRMS1L,PER2,DDX11,SNW1,ZBTB33,SAFB,NCOR1,ARID3A,NTMT1,BCL6,MTHFR,LDB1,BRD7,SIRT4,BAZ2A,RBBP7,APBB1,KDM3A,ACTL6A,MUC1,JMJD4,NOC2L,TAF12,PBRM1,PAF1
0.2,5.837590059736937,5.093560136571564,3.6219931555518214,8.335791821268392,4.067977878599689,4.809208492175251,5.382528500304318,3.6884041189767194,6.095966600980729,3.2141248053528475,6.384291610978895,3.7176484085706174,5.971267586790479,3.571676809970932,1.765534746362977,4.607626220845488,0.1243281350022017,2.241840183564671,4.876565938429902,2.817623257511431,3.992768430768924,0.0565835283663675,3.2533830949493785,0.0,0.36959917716956936,4.452595218162138,6.255236322922356,2.07450478641983,3.7712487246004582,4.170886442113004,3.1602748314085933,2.858378705746263,4.524314448430993,3.4305528103248832,0.6834319169813804,3.7128157873262957,2.989502177973985,4.7738896136797795,3.6440869286979987,3.6928734384719806,10.65313169090453,5.402653962702395,6.143883157280621,8.01834485688338,2.7398481026993275,6.157609495659362,3.7720967303785597,7.3438143905710715,3.89472056358363,3.9380967759094716,1.3950627995175775,3.9838600258309453,2.989502177973985,3.207266956993942,5.186342071976255,0.4956951626240688,3.8551923528672964,3.448900951145128,0.6726335500756826,0.0,3.9204838178859234,2.816393979789349,2.521552980732173,1.1763227726404628,4.157852169141737,5.6359284371309375,2.8159849945923443,5.400196180309159,4.69331966157157,1.6369145803558778,5.037996601872389,2.0398395826072653,2.0186334718799,4.447182336936034,5.1312600643951605,0.5360529002402097,4.298804893676979,6.514248418078512,0.6617449998238286,3.6959938131099,6.105175192265479,1.4059923596758368,3.305385844930315,5.694880085306878,4.086783726177665,3.2977778781664875,4.9528926301229195
0.5,6.396262260990105,5.560103513464738,4.137503523749935,9.038178252278817,4.88410945135923,5.223036337901875,6.130930869826448,4.23112515787905,6.589164236699772,3.701549056943071,7.889108441924102,4.273515889702116,6.615445725304786,4.1906148602094975,2.189033824390017,5.273888823668492,0.765534746362977,2.7463127664254587,5.367720513401452,3.763411574470007,4.500164679492167,1.3504972470841332,3.937344392150232,0.0,2.6644828403646823,5.02945288578697,6.870611313044545,3.412781525338476,4.612942196304665,4.862451391325582,3.6507645591169022,3.377123749129487,5.326609251005271,4.095924419998536,2.608809242675524,4.267535798068735,3.472487771462744,5.4329594072761065,4.346956889378885,4.227278994468321,11.320800548881635,5.821199978056451,6.603181229013857,8.641293130688673,3.212569338850806,6.6783536539741695,4.259272487037594,8.308475556332992,4.4154882710497,4.609991295212678,1.8953026213333068,4.519793486241101,3.85897561429202,3.901108243014512,5.58796498888268,0.8718436485093178,4.379898163524692,4.115199749385445,4.152183419055046,0.0285691521967709,4.4409521980296365,3.614709844115208,3.1667154449664223,1.82781902461732,5.164705840182799,5.995936703504587,3.37851162325373,6.0576668767997095,5.25285462595139,2.5897634869849773,5.622637566537459,3.1984941536390834,2.724650271732968,5.074676686294496,5.6194130105979365,0.9855004303048848,4.971773447193373,7.042863176247121,2.992768430768924,4.20163386116965,6.593204354063288,3.003602236680196,3.819668183496456,6.3079748971135245,4.61706334388818,4.106850796450224,5.509379148914689
0.8,6.879534199230536,6.045311863679167,4.593831087908803,9.777737819256043,5.507286872345389,5.5785158567302044,6.676802664057748,4.791188926446164,7.01419885235109,4.099126812732075,8.83114253395124,4.805189240071735,7.155162284854862,4.824767853143294,2.6870606883398924,5.872336288104642,2.4398874772341275,3.301294862196352,5.804827694681686,4.589522839957178,4.92428983880865,3.0513721017210256,4.511341437128045,0.01435529297707,4.387774410126613,5.518660671401047,7.377713476512309,4.663458194159974,5.2888008793334365,5.467931546026287,4.052763489511856,4.024142345897803,5.994308172287712,4.774312609253225,4.303777783264347,4.82466602183531,3.982765462583646,5.972185179762026,5.037381954294117,4.716442236843321,11.98253706891952,6.243897457848923,7.077349576346341,9.148308785328927,3.7424368649795343,7.224271852135164,4.746957386148124,8.999052906299303,4.921150645472601,5.286215696055963,2.485426827170241,5.003152448666922,4.697662633470518,4.460217947266616,5.981076299464584,1.280956313831056,4.909291805987192,4.732160624144316,5.293885242721108,0.3219280948873623,4.938191237144289,4.311647369002909,3.822933124945909,2.5897634869849773,6.017654714758518,6.355615339720275,3.930736095237799,6.590331995631692,5.806427143837036,3.781149790628403,6.10697603826929,4.282585597512507,3.412781525338476,5.676605764495581,6.062164892795041,1.540025902554889,5.515699700368794,7.600998025138499,4.496973014574187,4.73898380897028,7.073841421125607,5.1602746056457,4.312373692912402,6.871350756407764,5.055976455986752,4.800537548428573,6.030159439854161
