,HDAC3,MSL1,MORF4L1,ELK4,CHD1,IWS1,NOC2L,PER2,HSPBAP1,LPIN1,INCENP,MSL2,SNW1,SIRT4,NCOR1,MCRS1,RBBP7,MTF2,USP22,NPM2,ACTB,SMARCD3,ZNHIT1,LMNA,SCMH1,RNF40,BAZ2A,WDR5B,GATAD2A,NTMT1,KDM4D,SMARCE1,SUDS3,PAXBP1,TAF1,RTF1,JMJD4,BAZ2B,TAF9,DDX11,KDM4A,LDB1,NAP1L4,HIRIP3,PHF20L1,TAF12,HMGN2,BRD7,SETD5,SAFB,PBRM1,ZBTB33,CREBBP,MBD3,SMARCA1,MYOD1,ARID3A,INO80,TAF10,MAP3K7,KMT2A,KDM3A,PRKD1,WDR5,APP,APBB1,PAF1,BRMS1L,SMARCAL1,AUTS2,KDM8,DYDC2,ATF2,ACTL6A,GATA2,KMT5A,PRMT3,EPC1,MUC1,BRPF3,PHC1,NAA50,MTHFR,SMYD5,TAF2,BCL6,HELLS
0.25,5.411932203790994,5.1044274560778495,8.45013251072525,2.911473679915331,4.308517611629532,5.041018441460809,5.9400469815576535,0.8836048651835201,2.855985561212204,3.842770105543286,4.239167511959797,2.928835923218585,5.737818724363067,0.636892109545687,4.617408513515883,5.2265834590913585,6.552644433385206,3.3059616472002866,5.886605221524424,0.0,10.88833927205085,3.457451721979454,6.939154735719769,8.287746928195956,3.791966231046773,5.084169167854334,4.455161788337553,1.9809383973877186,4.257471597168632,5.207005961303892,0.7505632452736447,6.199421885690019,3.6360247577712532,3.6527711442150474,3.739010462045833,3.8402081966206447,3.4652853944274593,2.9689554418346487,6.255189268922756,4.161281001694823,4.052020571551919,4.765151634397024,6.269310438400051,4.388129396075408,3.92217420392382,4.27105879863757,8.511244875566327,5.04176864995163,4.881732427945175,5.3013792595645395,3.811214048858671,2.97049538639966,3.2290705029553037,4.188720718538864,3.6026704612173948,0.0,1.6982133298356192,3.19454368960836,6.2447828763847495,3.8701038023423204,3.220267219368429,4.308683581771987,2.889469594205977,4.399170607439968,8.415549563807787,3.866400978960405,4.763772591808535,2.8986722936775404,3.501967029982214,0.3700908416896576,1.323263237600855,0.01435529297707,3.8564751038319125,6.241453415996629,0.8737767490388362,4.528881285632021,3.954399064379614,2.8176188952548005,0.8816285656621835,3.37781333829651,3.5758063484313376,6.412086438736021,2.1176950426697547,4.1755139656155045,4.013848510657088,2.9492021109827973,3.6493210657562183
0.5,5.782071719519708,5.437786680533796,8.840085094823959,3.1905724557205803,4.587661246930654,5.270525843885426,6.565673231140576,1.166711866862596,3.1802277917333783,4.343289481419818,5.050702587547564,3.1818606356610797,5.93120252550417,1.035606744802632,4.8926333724895,5.423578170981798,7.026765569574486,3.727910182542458,6.1651221892328,0.2927697316763383,11.222884862065388,4.135363976646815,7.212720509148188,8.827528236349803,4.014345348834901,5.472323750321403,4.886295356736528,2.250961573533219,5.086384632185833,5.623070476976244,0.9597653881936443,6.325048422940215,3.979567447883582,4.037382757094605,4.228415392602967,4.1505267435956945,4.02967493461528,3.4547401559830657,6.604424844791048,4.768447048753722,4.266991880771762,5.076387054660579,6.525626362104607,4.698211627804347,4.21131329639527,4.59424843316528,8.864603540836468,5.219342394911965,5.299541712997062,6.009545072936497,4.16709685848645,3.510327769522907,3.7926897347471487,5.343523956043713,4.407333367069139,0.0,2.1374699892530837,3.4568037559115496,6.846053327466683,4.098449313064412,3.517899918711631,4.544387495383868,3.228813560895275,4.670157732053189,8.72467811857263,4.291308671672471,5.327147054333807,3.093379022794058,3.828279647012222,1.5423723104342337,1.572887630856739,0.1699107524616712,4.133810032588916,6.487839138301796,2.028569152196771,4.886122641651031,4.295932443768828,3.1018061446564547,1.592140147209691,3.8673101055010726,3.820178872027835,6.710934663321472,2.6276049494071163,4.46171871457631,4.245943780149778,3.5458329937609063,4.029382822093307
0.75,5.997046017337459,5.7283629347384295,9.048540053226928,3.5207315062058973,4.833391882281813,5.5174541470110094,7.049328012215007,1.4710464464104622,3.5020742722253573,4.676772066588686,5.415244329555007,3.3610537191165535,6.189676123632287,1.313167627587361,5.240167797062665,5.761227995970217,7.334988510789076,4.023031014792129,6.4554068903416555,1.6824899769234478,11.758971814339343,4.551659506367315,7.62415176928252,9.398612670863033,4.336963684873558,5.616913973255528,5.221101240241699,2.778727081527575,5.412989285185309,5.986649622819402,1.1731168254607818,6.637208924575946,4.332267258254033,4.533250944559626,4.564035940727833,4.53860712295136,4.355414005448153,3.904721978620094,6.954592074746891,5.267129422966135,4.594998993773716,5.331198966407393,6.818034387811991,5.041202175645605,4.683888691608521,4.842238196622459,9.286871632362079,5.454914108445473,5.684433075470071,6.253775277691988,4.636306397935853,3.8282500494164404,4.067807710732135,5.624118599351411,4.747384704080633,0.0,2.5445555225859353,3.872037281908309,7.289118644636552,4.299206310548273,3.904961868060412,4.8347861362293685,3.7689463187873193,4.978378961183343,9.060094324374667,4.585350082279586,5.597679936162517,3.3741059475486455,4.001570721086019,3.0122384784992393,1.8559896973084808,0.5873590129284557,4.329004253199818,6.700775830401139,3.1517570203713543,5.271742402189612,4.615139542392328,3.4212034609246036,2.460698200402967,4.318557355865071,4.154991908661399,7.054060430531374,3.097056132790348,4.762844959641439,4.514528875189793,4.075231425684263,4.51838803634171
