,TAF9,MSL1,MAP3K7,HMGN2,INCENP,IWS1,USP22,PRMT3,NAP1L4,SMARCAL1,LMNA,TAF1,TAF10,SCMH1,WDR5B,KMT5A,NPM2,HSPBAP1,RNF40,PHC1,SMYD5,PRKD1,CREBBP,MYOD1,AUTS2,WDR5,NAA50,SMARCD3,HELLS,GATAD2A,INO80,MSL2,MBD3,MTF2,GATA2,PHF20L1,EPC1,SETD5,PAXBP1,ATF2,ACTB,HDAC3,SMARCE1,MORF4L1,ELK4,ZNHIT1,SUDS3,APP,TAF2,HIRIP3,KDM8,RTF1,LPIN1,BRPF3,MCRS1,KDM4D,KDM4A,KMT2A,SMARCA1,DYDC2,CHD1,BAZ2B,BRMS1L,PER2,DDX11,SNW1,ZBTB33,SAFB,NCOR1,ARID3A,NTMT1,BCL6,MTHFR,LDB1,BRD7,SIRT4,BAZ2A,RBBP7,APBB1,KDM3A,ACTL6A,MUC1,JMJD4,NOC2L,TAF12,PBRM1,PAF1
0.1,5.515573687225205,4.823952771063785,3.352758359138969,7.97511412392246,3.339992315383682,4.532940288372874,4.981761184512069,3.3757345385831563,5.834306697644725,2.884792945137124,4.599612376645282,3.4337605336863977,5.569247261698538,3.193140712151346,1.5439886827165992,4.2502036564992975,0.0,1.992768430768924,4.642695324377261,2.2696286710347557,3.742006210866737,0.01435529297707,2.8098245871409433,0.0,0.1110313123887439,4.119854087334988,5.908423098612754,1.5558161550616396,3.275566825718088,3.7872233934463186,2.833902076669163,2.6196473085093084,4.0501533255578765,3.090853430451113,0.1322333682508416,3.381283372503784,2.719402112724203,4.2752960359687755,3.2983634445573955,3.367927541242468,10.273281992659848,5.124732795253342,5.819310525193926,7.63270417367777,2.4667525132832515,5.874354333394443,3.4849113487828123,6.063804848355281,3.528568066978575,3.5803862335386207,1.15704371014558,3.699329525673156,2.415758058341478,2.799078362805952,4.929980017222759,0.3561438102252753,3.5392827804710176,3.0823559318399725,0.1110313123887439,0.0,3.645701548051174,2.243668308899989,2.146002567114859,0.922954144912273,3.5873379848984137,5.374413055262061,2.5390326519762194,5.058489428400575,4.391621411784828,1.1505596765753812,4.711009708930786,1.263034405833794,1.6424634264370872,4.089836552626132,4.845788569130546,0.3628801634792277,3.84799690655495,6.21912959020593,0.24609168795477776,3.3843255234141285,5.840161019661873,0.8607589491777751,3.017921907997262,5.392454658745964,3.763193070718287,2.7595804626199554,4.633547345888352
0.5,6.396262260990105,5.560103513464738,4.137503523749935,9.038178252278817,4.88410945135923,5.223036337901875,6.130930869826448,4.23112515787905,6.589164236699772,3.701549056943071,7.889108441924102,4.273515889702116,6.615445725304786,4.1906148602094975,2.189033824390017,5.273888823668492,0.765534746362977,2.7463127664254587,5.367720513401452,3.763411574470007,4.500164679492167,1.3504972470841332,3.937344392150232,0.0,2.6644828403646823,5.02945288578697,6.870611313044545,3.412781525338476,4.612942196304665,4.862451391325582,3.6507645591169022,3.377123749129487,5.326609251005271,4.095924419998536,2.608809242675524,4.267535798068735,3.472487771462744,5.4329594072761065,4.346956889378885,4.227278994468321,11.320800548881635,5.821199978056451,6.603181229013857,8.641293130688673,3.212569338850806,6.6783536539741695,4.259272487037594,8.308475556332992,4.4154882710497,4.609991295212678,1.8953026213333068,4.519793486241101,3.85897561429202,3.901108243014512,5.58796498888268,0.8718436485093178,4.379898163524692,4.115199749385445,4.152183419055046,0.0285691521967709,4.4409521980296365,3.614709844115208,3.1667154449664223,1.82781902461732,5.164705840182799,5.995936703504587,3.37851162325373,6.0576668767997095,5.25285462595139,2.5897634869849773,5.622637566537459,3.1984941536390834,2.724650271732968,5.074676686294496,5.6194130105979365,0.9855004303048848,4.971773447193373,7.042863176247121,2.992768430768924,4.20163386116965,6.593204354063288,3.003602236680196,3.819668183496456,6.3079748971135245,4.61706334388818,4.106850796450224,5.509379148914689
0.8,6.879534199230536,6.045311863679167,4.593831087908803,9.777737819256043,5.507286872345389,5.5785158567302044,6.676802664057748,4.791188926446164,7.01419885235109,4.099126812732075,8.83114253395124,4.805189240071735,7.155162284854862,4.824767853143294,2.6870606883398924,5.872336288104642,2.4398874772341275,3.301294862196352,5.804827694681686,4.589522839957178,4.92428983880865,3.0513721017210256,4.511341437128045,0.01435529297707,4.387774410126613,5.518660671401047,7.377713476512309,4.663458194159974,5.2888008793334365,5.467931546026287,4.052763489511856,4.024142345897803,5.994308172287712,4.774312609253225,4.303777783264347,4.82466602183531,3.982765462583646,5.972185179762026,5.037381954294117,4.716442236843321,11.98253706891952,6.243897457848923,7.077349576346341,9.148308785328927,3.7424368649795343,7.224271852135164,4.746957386148124,8.999052906299303,4.921150645472601,5.286215696055963,2.485426827170241,5.003152448666922,4.697662633470518,4.460217947266616,5.981076299464584,1.280956313831056,4.909291805987192,4.732160624144316,5.293885242721108,0.3219280948873623,4.938191237144289,4.311647369002909,3.822933124945909,2.5897634869849773,6.017654714758518,6.355615339720275,3.930736095237799,6.590331995631692,5.806427143837036,3.781149790628403,6.10697603826929,4.282585597512507,3.412781525338476,5.676605764495581,6.062164892795041,1.540025902554889,5.515699700368794,7.600998025138499,4.496973014574187,4.73898380897028,7.073841421125607,5.1602746056457,4.312373692912402,6.871350756407764,5.055976455986752,4.800537548428573,6.030159439854161
