,GATA2,DDX11,INO80,RBBP7,HDAC3,PAF1,BAZ2B,TAF12,SUDS3,LPIN1,BRD7,APP,WDR5,NAA50,ARID3A,HSPBAP1,KDM4D,AUTS2,NPM2,IWS1,ZNHIT1,KMT2A,PRMT3,SNW1,GATAD2A,SMYD5,CREBBP,CHD1,APBB1,MORF4L1,PHC1,KDM3A,ZBTB33,JMJD4,SMARCA1,TAF1,HMGN2,TAF2,MSL1,PBRM1,HELLS,KDM8,SETD5,RNF40,INCENP,RTF1,ACTL6A,BRPF3,DYDC2,NTMT1,SCMH1,NCOR1,SAFB,PAXBP1,MUC1,PER2,MBD3,USP22,LMNA,PRKD1,NAP1L4,ACTB,ATF2,BCL6,MYOD1,SIRT4,TAF9,MAP3K7,NOC2L,SMARCD3,BAZ2A,HIRIP3,KMT5A,SMARCAL1,LDB1,MTHFR,KDM4A,MTF2,SMARCE1,MCRS1,BRMS1L,TAF10,ELK4,WDR5B,MSL2,PHF20L1,EPC1
0.25,0.8737767490388362,4.161281001694823,3.19454368960836,6.552644433385206,5.411932203790994,4.763772591808535,2.9689554418346487,4.27105879863757,3.6360247577712532,3.842770105543286,5.04176864995163,8.415549563807787,4.399170607439968,6.412086438736021,1.6982133298356192,2.855985561212204,0.7505632452736447,0.3700908416896576,0.0,5.041018441460809,6.939154735719769,3.220267219368429,3.954399064379614,5.737818724363067,4.257471597168632,4.1755139656155045,3.2290705029553037,4.308517611629532,3.866400978960405,8.45013251072525,3.5758063484313376,4.308683581771987,2.97049538639966,3.4652853944274593,3.6026704612173948,3.739010462045833,8.511244875566327,4.013848510657088,5.1044274560778495,3.811214048858671,3.6493210657562183,1.323263237600855,4.881732427945175,5.084169167854334,4.239167511959797,3.8402081966206447,6.241453415996629,3.37781333829651,0.01435529297707,5.207005961303892,3.791966231046773,4.617408513515883,5.3013792595645395,3.6527711442150474,0.8816285656621835,0.8836048651835201,4.188720718538864,5.886605221524424,8.287746928195956,2.889469594205977,6.269310438400051,10.88833927205085,3.8564751038319125,2.9492021109827973,0.0,0.636892109545687,6.255189268922756,3.8701038023423204,5.9400469815576535,3.457451721979454,4.455161788337553,4.388129396075408,4.528881285632021,3.501967029982214,4.765151634397024,2.1176950426697547,4.052020571551919,3.3059616472002866,6.199421885690019,5.2265834590913585,2.8986722936775404,6.2447828763847495,2.911473679915331,1.9809383973877186,2.928835923218585,3.92217420392382,2.8176188952548005
0.5,2.028569152196771,4.768447048753722,3.4568037559115496,7.026765569574486,5.782071719519708,5.327147054333807,3.4547401559830657,4.59424843316528,3.979567447883582,4.343289481419818,5.219342394911965,8.72467811857263,4.670157732053189,6.710934663321472,2.1374699892530837,3.1802277917333783,0.9597653881936443,1.5423723104342337,0.2927697316763383,5.270525843885426,7.212720509148188,3.517899918711631,4.295932443768828,5.93120252550417,5.086384632185833,4.46171871457631,3.7926897347471487,4.587661246930654,4.291308671672471,8.840085094823959,3.820178872027835,4.544387495383868,3.510327769522907,4.02967493461528,4.407333367069139,4.228415392602967,8.864603540836468,4.245943780149778,5.437786680533796,4.16709685848645,4.029382822093307,1.572887630856739,5.299541712997062,5.472323750321403,5.050702587547564,4.1505267435956945,6.487839138301796,3.8673101055010726,0.1699107524616712,5.623070476976244,4.014345348834901,4.8926333724895,6.009545072936497,4.037382757094605,1.592140147209691,1.166711866862596,5.343523956043713,6.1651221892328,8.827528236349803,3.228813560895275,6.525626362104607,11.222884862065388,4.133810032588916,3.5458329937609063,0.0,1.035606744802632,6.604424844791048,4.098449313064412,6.565673231140576,4.135363976646815,4.886295356736528,4.698211627804347,4.886122641651031,3.828279647012222,5.076387054660579,2.6276049494071163,4.266991880771762,3.727910182542458,6.325048422940215,5.423578170981798,3.093379022794058,6.846053327466683,3.1905724557205803,2.250961573533219,3.1818606356610797,4.21131329639527,3.1018061446564547
0.2501,0.8739166738457816,4.1613143350550095,3.194636920559485,6.552878151048414,5.411968228818515,4.763914171688141,2.969130275210644,4.271187132298836,3.6361277671051484,3.843105593331324,5.04176864995163,8.41558300060909,4.399186751400695,6.412365575498936,1.6982658725996282,2.8560326534526066,0.7507157013027627,0.37028957213456964,0.0,5.041242246302077,6.939978744618549,3.220450870521407,3.9545258221232458,5.737860245912433,4.2577091123098745,4.1755895015587186,3.2299074988571355,4.308560622841521,3.866482881042733,8.450253165781692,3.5760507948123275,4.309013171828461,2.970935375854518,3.465424683184104,3.603010133248425,3.739132016997013,8.511442912070061,4.014028607372467,5.104514274993405,3.8112201136261104,3.649382229378012,1.3235030253093893,4.881903629265671,5.084196791689806,4.239194576849822,3.840249848787079,6.2415075029188305,3.377862540171895,0.01435529297707,5.207072920857523,3.7922075879138966,4.617635417887984,5.301496218819488,3.6528050157310576,0.8817677279020574,0.8836973867546905,4.188969911004891,5.886661424916451,8.288725534885419,2.889515604592283,6.269352423457678,10.888490376183114,3.856557572719496,2.949626120301373,0.0,0.6370019420468742,6.255312291571588,3.8701913440883158,5.94044674061375,3.457529385846174,4.455185087350479,4.388309202873054,4.5289181976618575,3.502209162596363,4.765952516248601,2.1176950426697547,4.0520668180325226,3.3060306396812775,6.199474088311338,5.2266906431827485,2.8987753307214152,6.24485260957682,2.911816487347256,1.9809599738270063,2.9293464500045694,3.9222868713628327,2.8176672584573037
