,HDAC3,MSL1,MORF4L1,ELK4,CHD1,IWS1,NOC2L,PER2,HSPBAP1,LPIN1,INCENP,MSL2,SNW1,SIRT4,NCOR1,MCRS1,RBBP7,MTF2,USP22,NPM2,ACTB,SMARCD3,ZNHIT1,LMNA,SCMH1,RNF40,BAZ2A,WDR5B,GATAD2A,NTMT1,KDM4D,SMARCE1,SUDS3,PAXBP1,TAF1,RTF1,JMJD4,BAZ2B,TAF9,DDX11,KDM4A,LDB1,NAP1L4,HIRIP3,PHF20L1,TAF12,HMGN2,BRD7,SETD5,SAFB,PBRM1,ZBTB33,CREBBP,MBD3,SMARCA1,MYOD1,ARID3A,INO80,TAF10,MAP3K7,KMT2A,KDM3A,PRKD1,WDR5,APP,APBB1,PAF1,BRMS1L,SMARCAL1,AUTS2,KDM8,DYDC2,ATF2,ACTL6A,GATA2,KMT5A,PRMT3,EPC1,MUC1,BRPF3,PHC1,NAA50,MTHFR,SMYD5,TAF2,BCL6,HELLS
0.2,5.402653962702395,5.093560136571564,8.01834485688338,2.7398481026993275,3.9204838178859234,4.809208492175251,5.694880085306878,1.1763227726404628,2.241840183564671,2.989502177973985,4.067977878599689,2.858378705746263,5.6359284371309375,0.5360529002402097,4.69331966157157,5.186342071976255,6.514248418078512,3.4305528103248832,5.382528500304318,0.1243281350022017,10.65313169090453,2.07450478641983,6.157609495659362,6.384291610978895,3.571676809970932,4.876565938429902,4.298804893676979,1.765534746362977,4.170886442113004,5.037996601872389,0.4956951626240688,6.143883157280621,3.7720967303785597,3.6440869286979987,3.7176484085706174,3.9838600258309453,3.305385844930315,2.816393979789349,5.837590059736937,4.157852169141737,3.8551923528672964,4.447182336936034,6.095966600980729,3.9380967759094716,3.7128157873262957,4.086783726177665,8.335791821268392,5.1312600643951605,4.7738896136797795,5.400196180309159,3.2977778781664875,2.8159849945923443,3.2533830949493785,4.524314448430993,0.6726335500756826,0.0,1.6369145803558778,3.1602748314085933,5.971267586790479,3.6219931555518214,3.448900951145128,3.6959938131099,0.0565835283663675,4.452595218162138,7.3438143905710715,0.6617449998238286,4.9528926301229195,2.521552980732173,3.2141248053528475,0.36959917716956936,1.3950627995175775,0.0,3.6928734384719806,6.105175192265479,0.6834319169813804,4.607626220845488,3.6884041189767194,2.989502177973985,1.4059923596758368,3.207266956993942,2.817623257511431,6.255236322922356,2.0186334718799,3.992768430768924,3.89472056358363,2.0398395826072653,3.7712487246004582
0.5,5.821199978056451,5.560103513464738,8.641293130688673,3.212569338850806,4.4409521980296365,5.223036337901875,6.3079748971135245,1.82781902461732,2.7463127664254587,3.85897561429202,4.88410945135923,3.377123749129487,5.995936703504587,0.9855004303048848,5.25285462595139,5.58796498888268,7.042863176247121,4.095924419998536,6.130930869826448,0.765534746362977,11.320800548881635,3.412781525338476,6.6783536539741695,7.889108441924102,4.1906148602094975,5.367720513401452,4.971773447193373,2.189033824390017,4.862451391325582,5.622637566537459,0.8718436485093178,6.603181229013857,4.259272487037594,4.346956889378885,4.273515889702116,4.519793486241101,3.819668183496456,3.614709844115208,6.396262260990105,5.164705840182799,4.379898163524692,5.074676686294496,6.589164236699772,4.609991295212678,4.267535798068735,4.61706334388818,9.038178252278817,5.6194130105979365,5.4329594072761065,6.0576668767997095,4.106850796450224,3.37851162325373,3.937344392150232,5.326609251005271,4.152183419055046,0.0,2.5897634869849773,3.6507645591169022,6.615445725304786,4.137503523749935,4.115199749385445,4.20163386116965,1.3504972470841332,5.02945288578697,8.308475556332992,2.992768430768924,5.509379148914689,3.1667154449664223,3.701549056943071,2.6644828403646823,1.8953026213333068,0.0285691521967709,4.227278994468321,6.593204354063288,2.608809242675524,5.273888823668492,4.23112515787905,3.472487771462744,3.003602236680196,3.901108243014512,3.763411574470007,6.870611313044545,2.724650271732968,4.500164679492167,4.4154882710497,3.1984941536390834,4.612942196304665
0.8,6.243897457848923,6.045311863679167,9.148308785328927,3.7424368649795343,4.938191237144289,5.5785158567302044,6.871350756407764,2.5897634869849773,3.301294862196352,4.697662633470518,5.507286872345389,4.024142345897803,6.355615339720275,1.540025902554889,5.806427143837036,5.981076299464584,7.600998025138499,4.774312609253225,6.676802664057748,2.4398874772341275,11.98253706891952,4.663458194159974,7.224271852135164,8.83114253395124,4.824767853143294,5.804827694681686,5.515699700368794,2.6870606883398924,5.467931546026287,6.10697603826929,1.280956313831056,7.077349576346341,4.746957386148124,5.037381954294117,4.805189240071735,5.003152448666922,4.312373692912402,4.311647369002909,6.879534199230536,6.017654714758518,4.909291805987192,5.676605764495581,7.01419885235109,5.286215696055963,4.82466602183531,5.055976455986752,9.777737819256043,6.062164892795041,5.972185179762026,6.590331995631692,4.800537548428573,3.930736095237799,4.511341437128045,5.994308172287712,5.293885242721108,0.01435529297707,3.781149790628403,4.052763489511856,7.155162284854862,4.593831087908803,4.732160624144316,4.73898380897028,3.0513721017210256,5.518660671401047,8.999052906299303,4.496973014574187,6.030159439854161,3.822933124945909,4.099126812732075,4.387774410126613,2.485426827170241,0.3219280948873623,4.716442236843321,7.073841421125607,4.303777783264347,5.872336288104642,4.791188926446164,3.982765462583646,5.1602746056457,4.460217947266616,4.589522839957178,7.377713476512309,3.412781525338476,4.92428983880865,4.921150645472601,4.282585597512507,5.2888008793334365
