,TAF9,MSL1,MAP3K7,HMGN2,INCENP,IWS1,USP22,PRMT3,NAP1L4,SMARCAL1,LMNA,TAF1,TAF10,SCMH1,WDR5B,KMT5A,NPM2,HSPBAP1,RNF40,PHC1,SMYD5,PRKD1,CREBBP,MYOD1,AUTS2,WDR5,NAA50,SMARCD3,HELLS,GATAD2A,INO80,MSL2,MBD3,MTF2,GATA2,PHF20L1,EPC1,SETD5,PAXBP1,ATF2,ACTB,HDAC3,SMARCE1,MORF4L1,ELK4,ZNHIT1,SUDS3,APP,TAF2,HIRIP3,KDM8,RTF1,LPIN1,BRPF3,MCRS1,KDM4D,KDM4A,KMT2A,SMARCA1,DYDC2,CHD1,BAZ2B,BRMS1L,PER2,DDX11,SNW1,ZBTB33,SAFB,NCOR1,ARID3A,NTMT1,BCL6,MTHFR,LDB1,BRD7,SIRT4,BAZ2A,RBBP7,APBB1,KDM3A,ACTL6A,MUC1,JMJD4,NOC2L,TAF12,PBRM1,PAF1
0.2,6.167152838412995,5.050063928066383,3.778628573912534,8.43607007003555,4.214894355211142,4.936713776323829,5.843136073871697,3.8690504105804893,6.245341348312435,3.4475767679666194,8.044441086581404,3.637140449639751,6.083679169291973,3.6944376313723093,1.9022366397439492,4.130690577425763,0.0,2.7641793309350584,5.051274958820047,3.3493562458663786,4.1070951367672555,2.5660792106281702,3.106559756890708,0.0,0.2091066091602813,4.228578441469107,6.225305798624245,3.3963289698389656,3.538286745225348,4.170725385578094,3.0955165538759166,2.838748085325458,4.08111537246388,3.247924309581605,0.5347629898286732,3.817392842593045,2.7380981735876073,4.713361691398255,3.575732127350457,3.7840763545348803,10.814888970935742,5.33858452900405,6.146328542094658,8.398702075052952,2.812290735849769,6.761439601536008,3.516908073744963,8.237212602446114,3.958765505922466,4.219682503410277,1.2448870591235344,3.7105745285452625,3.5217139617481314,3.2109817103430114,5.16020368109658,0.6906004035898462,3.9511516560345363,3.0837181692561226,3.446485617354685,0.0,4.201302430650699,2.90765798021422,2.7479656947774402,0.8269727773648593,3.990954860396993,5.69162573941768,2.804997100082256,5.228530556338067,4.517510336554271,1.4138634297219888,5.176877107583841,2.852471578766524,2.0928526839594723,4.585005676092359,4.9329899186684525,0.5279813527169815,4.296889194459096,6.4071938456340645,3.730628638186413,4.229264324753806,6.087319776379861,0.8086917348474254,3.3263153822154368,5.841714452752035,4.1494541289579665,3.7536044728202613,4.69336047347451
0.5,6.604424844791048,5.437786680533796,4.098449313064412,8.864603540836468,5.050702587547564,5.270525843885426,6.1651221892328,4.295932443768828,6.525626362104607,3.828279647012222,8.827528236349803,4.228415392602967,6.846053327466683,4.014345348834901,2.250961573533219,4.886122641651031,0.2927697316763383,3.1802277917333783,5.472323750321403,3.820178872027835,4.46171871457631,3.228813560895275,3.7926897347471487,0.0,1.5423723104342337,4.670157732053189,6.710934663321472,4.135363976646815,4.029382822093307,5.086384632185833,3.4568037559115496,3.1818606356610797,5.343523956043713,3.727910182542458,2.028569152196771,4.21131329639527,3.1018061446564547,5.299541712997062,4.037382757094605,4.133810032588916,11.222884862065388,5.782071719519708,6.325048422940215,8.840085094823959,3.1905724557205803,7.212720509148188,3.979567447883582,8.72467811857263,4.245943780149778,4.698211627804347,1.572887630856739,4.1505267435956945,4.343289481419818,3.8673101055010726,5.423578170981798,0.9597653881936443,4.266991880771762,3.517899918711631,4.407333367069139,0.1699107524616712,4.587661246930654,3.4547401559830657,3.093379022794058,1.166711866862596,4.768447048753722,5.93120252550417,3.510327769522907,6.009545072936497,4.8926333724895,2.1374699892530837,5.623070476976244,3.5458329937609063,2.6276049494071163,5.076387054660579,5.219342394911965,1.035606744802632,4.886295356736528,7.026765569574486,4.291308671672471,4.544387495383868,6.487839138301796,1.592140147209691,4.02967493461528,6.565673231140576,4.59424843316528,4.16709685848645,5.327147054333807
0.8,7.021111352275654,5.785794924802264,4.333563423162572,9.372322687962736,5.585277350553814,5.571857942593158,6.522075097165863,4.671159681659548,6.8644107826320475,4.0662433952982155,9.609038147850226,4.6887394345381965,7.375601309835549,4.38308191965451,2.8077586159828556,5.33622575546876,2.1263774557494215,3.5648422130133386,5.666586166878256,4.263333404750272,4.8572646205827885,3.9337581018773875,4.174071231710706,0.0,3.262376409964599,5.0443350379262535,7.114193559282899,4.7965844564770626,4.568761045811209,5.46623343388974,3.932608460729256,3.3832200096347367,5.7132855391924195,4.069111607331207,3.3928519213453483,4.900555925617767,3.4441321948056336,5.728764490570065,4.596686271327826,4.395470548565235,11.787131746332845,6.052577722232407,6.760413722885804,9.148186740666203,3.61015395962459,7.7573298068189915,4.384878677272612,9.143997521413535,4.5810458208436104,5.092788666073467,1.8999481584069926,4.627081131782415,4.699322706785722,4.427865405232181,5.8567397611742935,1.2091392423836358,4.700110602841055,3.9596747194932336,4.780408376187939,0.7291110594470874,4.8990935490205825,3.9251567347945637,3.492339785053932,1.5300487231551285,5.431081657024995,6.234724163977606,3.9126126277245934,6.362907714797924,5.30764703259245,2.8519067028285927,6.057643418888985,4.160100466447988,3.202861313887178,5.40448259875148,5.515558274666095,1.4048769438035924,5.281622580701545,7.374865434699706,4.743404538713019,5.0592238705262735,6.756959308734892,2.5323720767394664,4.3875249327993435,7.144034997469159,4.878234879112339,4.698995463905408,5.6310456806817895
