,TAF9,MSL1,MAP3K7,HMGN2,INCENP,IWS1,USP22,PRMT3,NAP1L4,SMARCAL1,LMNA,TAF1,TAF10,SCMH1,WDR5B,KMT5A,NPM2,HSPBAP1,RNF40,PHC1,SMYD5,PRKD1,CREBBP,MYOD1,AUTS2,WDR5,NAA50,SMARCD3,HELLS,GATAD2A,INO80,MSL2,MBD3,MTF2,GATA2,PHF20L1,EPC1,SETD5,PAXBP1,ATF2,ACTB,HDAC3,SMARCE1,MORF4L1,ELK4,ZNHIT1,SUDS3,APP,TAF2,HIRIP3,KDM8,RTF1,LPIN1,BRPF3,MCRS1,KDM4D,KDM4A,KMT2A,SMARCA1,DYDC2,CHD1,BAZ2B,BRMS1L,PER2,DDX11,SNW1,ZBTB33,SAFB,NCOR1,ARID3A,NTMT1,BCL6,MTHFR,LDB1,BRD7,SIRT4,BAZ2A,RBBP7,APBB1,KDM3A,ACTL6A,MUC1,JMJD4,NOC2L,TAF12,PBRM1,PAF1
0.25,5.980595579113096,5.189626794025088,3.7495338689198134,8.46521914435752,4.237640144363047,4.894332742277694,5.5277893364083095,3.7803066601823705,6.215096068695219,3.3240903362408765,6.793830834773054,3.814550059080192,6.101922973311739,3.6954361433473792,1.8539942672104637,4.752212970593913,0.1763227726404629,2.3362833878644325,4.987093275697479,3.0268000593437154,4.100557159505135,0.0840642647884745,3.4093907763929048,0.0,0.6825662967262649,4.607626220845488,6.390082909932078,2.2971906700522418,3.965322548367255,4.299391020066765,3.2622826105386,2.9616233282869446,4.66561837229816,3.5680315919390395,1.140774946683321,3.8109563347847315,3.078097170163641,4.9271851824924475,3.8016759365177615,3.797012977836145,10.791488369637928,5.496494298005304,6.233332039012641,8.158104697595373,2.8135246892978105,6.241935417186443,3.8870377090329655,7.6081806325304004,4.00584900582148,4.0959241733080525,1.4905701304462011,4.124327897836625,3.171527106038814,3.3916300977906513,5.266599153365508,0.5655971758542251,3.966707240378784,3.5771265347052914,1.790772037862,0.0,4.037381954457169,2.9891390073682333,2.6507645591169022,1.3103401206121503,4.34766565630097,5.697245441847837,2.933572638261024,5.541328444873371,4.818134398235332,1.8135232296962043,5.145677455195635,2.2971906700522418,2.16349873228288,4.5750094346037695,5.220716061995253,0.6135316529179271,4.454175893185802,6.623515734070775,0.9891344305369045,3.778208193188439,6.208185573318646,1.6484636081373978,3.3936907641874536,5.837817077057781,4.222650022451478,3.466626972482026,5.073606024672296
0.5,6.396262260990105,5.560103513464738,4.137503523749935,9.038178252278817,4.88410945135923,5.223036337901875,6.130930869826448,4.23112515787905,6.589164236699772,3.701549056943071,7.889108441924102,4.273515889702116,6.615445725304786,4.1906148602094975,2.189033824390017,5.273888823668492,0.765534746362977,2.7463127664254587,5.367720513401452,3.763411574470007,4.500164679492167,1.3504972470841332,3.937344392150232,0.0,2.6644828403646823,5.02945288578697,6.870611313044545,3.412781525338476,4.612942196304665,4.862451391325582,3.6507645591169022,3.377123749129487,5.326609251005271,4.095924419998536,2.608809242675524,4.267535798068735,3.472487771462744,5.4329594072761065,4.346956889378885,4.227278994468321,11.320800548881635,5.821199978056451,6.603181229013857,8.641293130688673,3.212569338850806,6.6783536539741695,4.259272487037594,8.308475556332992,4.4154882710497,4.609991295212678,1.8953026213333068,4.519793486241101,3.85897561429202,3.901108243014512,5.58796498888268,0.8718436485093178,4.379898163524692,4.115199749385445,4.152183419055046,0.0285691521967709,4.4409521980296365,3.614709844115208,3.1667154449664223,1.82781902461732,5.164705840182799,5.995936703504587,3.37851162325373,6.0576668767997095,5.25285462595139,2.5897634869849773,5.622637566537459,3.1984941536390834,2.724650271732968,5.074676686294496,5.6194130105979365,0.9855004303048848,4.971773447193373,7.042863176247121,2.992768430768924,4.20163386116965,6.593204354063288,3.003602236680196,3.819668183496456,6.3079748971135245,4.61706334388818,4.106850796450224,5.509379148914689
0.75,6.781031777603175,5.950118424784593,4.496014554683147,9.617273043260226,5.40377897388828,5.506684439006469,6.577353195387559,4.661635151913145,6.92593945077272,4.0307774044908395,8.638180549913361,4.69069641693787,7.0545771856076716,4.710944154575872,2.5909607445551686,5.784765102969393,2.130930869826449,3.19534759832222,5.72137265947682,4.404970861954351,4.842727447391132,2.776103988073164,4.396433531250992,0.0,4.144861912406171,5.410578060572343,7.2756578601005755,4.449230860556623,5.168321059956295,5.376949909866857,3.9736109832440727,3.882643049361841,5.886550064882398,4.635463935443969,3.9443880600281784,4.700439718141092,3.879705766282288,5.861830898785303,4.9152808953881575,4.620586291252396,11.856833758563862,6.160476522314546,6.964398613701181,9.04679657243796,3.645009423466309,7.112543550939084,4.646162542110727,8.85457233546197,4.821455096545563,5.1440458503832165,2.361768359419153,4.894575252792819,4.531691203544744,4.335568297721624,5.900383634695977,1.1890338243900171,4.809670554414809,4.599912842187128,5.129076770400354,0.22031666758076351,4.84146964843174,4.169123058591017,3.6848183013762466,2.436960722815619,5.8483725540448255,6.28881994114038,3.8186457205039437,6.484379469219361,5.696828437777773,3.4600870912134707,6.000674978800259,4.021923770219454,3.2779839806424125,5.554894959392451,5.97979670016696,1.4168397419128294,5.416332841478043,7.503269219360672,4.299390461886284,4.623216395358545,6.972750083845499,4.674121189939003,4.210232779557231,6.756155980110255,4.959769857273777,4.644432691112794,5.933454607086672
