Gene
ACTB
ACTL6A
ACTL6B
AKAP8
AKAP8L
ALKBH1
APBB1
APLNR
APP
ARID1A
ARID1B
ARID2
ARID3A
ARID3B
ARID4A
ARID4B
ARID5A
ARID5B
ARRB1
ASF1A
ASF1B
ASH1L
ASH2L
ATAD2
ATAD2B
ATF2
ATG5
ATG7
ATRX
ATXN7
ATXN7L3
AUTS2
BAP1
BAZ1A
BAZ1B
BAZ2A
BAZ2B
BCL6
BCOR
BEND3
BMI1
BPTF
BRCA1
BRCA2
BRD1
BRD2
BRD3
BRD4
BRD7
BRD8
BRD9
BRDT
BRMS1
BRMS1L
BRPF1
BRPF3
BRWD1
BRWD3
CARM1
CBX1
CBX2
CBX3
CBX4
CBX5
CBX6
CBX7
CBX8
CDYL
CDYL2
CENPA
CENPE
CENPF
CHAF1A
CHAF1B
CHD1
CHD1L
CHD2
CHD3
CHD4
CHD5
CHD6
CHD7
CHD8
CHD9
CHEK1
CHRAC1
CHTOP
COPRS
CREBBP
CRTC2
CTBP1
CTCF
CTCFL
CTNNB1
CTR9
CXXC1
DDX11
DMAP1
DMRTC2
DNMT1
DNMT3A
DNMT3B
DNMT3L
DOT1L
DPPA2
DPY30
DR1
DYDC1
DYDC2
EED
EHMT1
EHMT2
EID1
ELK4
ELP3
ENY2
EP300
EP400
EPC1
EPC2
ERCC6
EZH1
EZH2
FBL
FLCN
FOXP3
GATA2
GATA3
GATAD2A
GATAD2B
GCG
GFI1
GFI1B
GLYR1
GTF3C4
HAT1
HCFC1
HDAC1
HDAC10
HDAC11
HDAC2
HDAC3
HDAC4
HDAC5
HDAC6
HDAC7
HDAC8
HDAC9
HELLS
HIF1AN
HIRA
HIRIP3
HJURP
HLTF
HMGA1
HMGA2
HMGB1
HMGB2
HMGB3
HMGB4
HMGN2
HMGN3
HMGN5
HNF1A
HOPX
HP1BP3
HR
HSF4
HSPBAP1
IKZF1
INCENP
ING2
ING3
ING4
ING5
INO80
IRF4
ISL1
IWS1
JADE1
JADE2
JADE3
JARID2
JDP2
JMJD1C
JMJD4
KANSL1
KANSL2
KANSL3
KAT14
KAT2A
KAT2B
KAT5
KAT6A
KAT6B
KAT7
KAT8
KDM1A
KDM1B
KDM2A
KDM2B
KDM3A
KDM3B
KDM4A
KDM4B
KDM4C
KDM4D
KDM4E
KDM5A
KDM5B
KDM5C
KDM6A
KDM6B
KDM7A
KDM8
KMT2A
KMT2B
KMT2C
KMT2D
KMT2E
KMT5A
KMT5B
KMT5C
KPNA7
L3MBTL1
L3MBTL2
LCOR
LDB1
LEF1
LIF
LMNA
LPIN1
LRRK2
MACROH2A1
MACROH2A2
MAF
MAP3K7
MAPK3
MBD1
MBD2
MBD3
MBD3L1
MBD4
MBD5
MBD6
MBIP
MBTD1
MCRS1
MEAF6
MECP2
MEN1
MIDEAS
MIER1
MIER2
MLLT1
MLLT3
MLLT6
MORF4L1
MORF4L2
MPHOSPH8
MRGBP
MSL1
MSL2
MSL3
MTA1
MTA2
MTA3
MTF2
MTHFR
MUC1
MYB
MYOCD
MYOD1
MYOG
N6AMT1
NAA40
NAA50
NAA60
NAP1L1
NAP1L2
NAP1L3
NAP1L4
NAP1L5
NCOA1
NCOA3
NCOA6
NCOR1
NEDD4
NELFA
NELFE
NFYA
NFYB
NFYC
NIPBL
NNMT
NOC2L
NOS1
NPM2
NR1H4
NR3C1
NSD1
NSD2
NSD3
NTMT1
NUP153
NUP62
OGT
PADI4
PAF1
PARK7
PAX5
PAX7
PAXBP1
PAXIP1
PBRM1
PBXIP1
PCGF1
PCGF2
PCGF3
PCGF5
PCGF6
PER1
PER2
PHB1
PHC1
PHC2
PHC3
PHF1
PHF14
PHF19
PHF2
PHF20
PHF20L1
PHF8
PIH1D1
PINK1
PIWIL2
PML
POLE3
PRDM12
PRDM14
PRDM2
PRDM5
PRDM6
PRDM8
PRDM9
PRKD1
PRKD2
PRMT1
PRMT2
PRMT3
PRMT5
PRMT6
PRMT7
PRMT8
PRMT9
PWP1
PYGO2
RBBP4
RBBP5
RBBP7
RBM10
RCC1
RCOR1
RCOR2
RCOR3
REST
RIF1
RING1
RIOX2
RLF
RNF2
RNF20
RNF40
RPS6KA4
RPS6KA5
RRP8
RSF1
RTF1
RUVBL1
RUVBL2
SAFB
SAP30BP
SATB1
SATB2
SCMH1
SDR16C5
SETD1A
SETD1B
SETD2
SETD4
SETD5
SETD6
SETD7
SETDB1
SETDB2
SETMAR
SFPQ
SGF29
SIN3A
SIN3B
SIRT1
SIRT2
SIRT3
SIRT4
SIRT5
SIRT6
SIRT7
SMAD4
SMARCA1
SMARCA2
SMARCA4
SMARCA5
SMARCAD1
SMARCAL1
SMARCB1
SMARCC1
SMARCC2
SMARCD1
SMARCD2
SMARCD3
SMARCE1
SMC1B
SMCHD1
SMYD1
SMYD2
SMYD3
SMYD5
SNAI2
SNCA
SNW1
SP100
SPHK2
SPI1
SRCAP
SREBF1
SS18L1
SSRP1
STAG1
SUDS3
SUPT7L
SUV39H1
SUV39H2
SUZ12
TADA1
TADA2A
TADA2B
TADA3
TAF1
TAF10
TAF12
TAF2
TAF4
TAF5
TAF5L
TAF6
TAF6L
TAF7
TAF9
TBL1X
TBL1XR1
TCF21
TCF3
TET1
TET2
TET3
TGFB1
THAP7
TNP1
TNP2
TRERF1
TRIM24
TRIM28
TRMT112
TRRAP
TWIST1
UBE2A
UBE2B
UHRF2
USP22
USP3
